"","date","code","status","sex","back","center","front","side","front.bin","meanRank","meanPositionRanked","status2","dob","ageDays","X","Weight_diff..g.","Zweight","Zweight2"
"314","2019-08-06","VLF230","DominantF","F",0.123156558257642,0.615196796562164,0.0762769801738451,0.185369665006348,0.492528567242895,0.138766847794411,0,"DominantF","2016-11-06",1003,491,-11,-1.72728400810141,-1.35267609242317
"317","2019-08-06","VLF241","Yearling","F",0.0892542571931885,0.53532981013897,0.0950283812879233,0.280387551379918,0.665590135055784,0.351331097903711,0.4,"Juvenile","2018-02-23",529,494,9,-0.485362671697076,0.32650802230904
"318","2019-08-06","VLF244","Sub-Adult","F",0.218229880556099,0.462208733111416,0.0293714509496769,0.290189935382808,0.310162522028588,-0.130247361537398,-1,"Subordinate","2018-07-18",384,495,-6,-2.10912937194423,-0.932880063740115
"320","2019-08-06","VLM234","Adult","M",0.0806420043061264,0.350753572127618,0.14846349579174,0.420140927774516,0.63691524760227,0.242080219209941,0.2,"Subordinate","2017-04-23",835,492,9,-0.446239542545337,0.32650802230904
"321","2019-08-06","VLM239","Yearling","M",0.210207865716795,0.439933639113887,0.0282033765980287,0.321655118571289,0.384697960378647,-0.0852122309046586,-0.8,"Juvenile","2018-02-23",529,493,-6,-1.00750337177148,-0.932880063740115
"323","2019-08-06","VLM248","Sub-Adult","M",0.013079551000488,0.502879453391898,0.186530014641288,0.297510980966325,0.80829673011225,0.579639174519076,1,"Subordinate","2018-07-18",384,496,5,-0.52645946625423,-0.00932880063740111
"325","2019-08-07","VLF230","DominantF","F",0.061770761839396,0.515834885773115,0.0491224629865673,0.373271889400922,0.523580743210119,0.1357263456579,0,"DominantF","2016-11-06",1004,500,24,1.04587839022654,1.38361007514374
"327","2019-08-07","VLF241","Yearling","F",0.0648420639591917,0.510300176574456,0.0697469099470277,0.355110849519325,0.417500490484599,0.0822826440239613,-0.4,"Juvenile","2018-02-23",530,501,2,-1.45608801509123,-1.00379554471212
"328","2019-08-07","VLF244","Sub-Adult","F",0.0801020909001669,0.525277314224011,0.128693432806518,0.265927162069304,0.531854324138608,0.211088831547361,0.4,"Subordinate","2018-07-18",385,502,9,0.166909518643068,-0.244166483848895
"329","2019-08-07","VLF246","Sub-Adult","F",0.0982345398954532,0.467896242232962,0.109379623237006,0.324489594634579,0.524607949501923,0.248875751739935,0.2,"Subordinate","2018-07-18",385,503,10,0.0999126510242397,-0.135648046582719
"336","2019-08-08","VLF230","DominantF","F",0.0335970309600547,0.502197480222678,0.119640589901358,0.34456489891591,0.530129895497607,0.243587501348787,0,"DominantF","2016-11-06",1005,504,6,-0.380319414627832,-0.534203767751995
"337","2019-08-08","VLF235","Adult","F",0.0663669240543446,0.425862574528394,0.203596911347864,0.304173590069397,0.709021601016518,0.423737887394097,0.8,"Subordinate","2017-04-23",837,506,-2,-0.956737442903467,-1.16733415916177
"338","2019-08-08","VLF241","Yearling","F",0.272389881824397,0.213106748705928,0.068659048735228,0.445844320734447,0.348471530422893,-0.107254891006009,-0.6,"Juvenile","2018-02-23",531,508,9,-0.485362671697076,-0.29677987097333
"339","2019-08-08","VLF244","Sub-Adult","F",0.104759083728278,0.627863349131122,0.0845181674565561,0.182859399684044,0.497827804107425,0.170089691476455,-0.2,"Subordinate","2018-07-18",386,509,16,1.22906100091714,0.25720922151022
"340","2019-08-08","VLF246","Sub-Adult","F",0.118531536809217,0.414176918570592,0.167154852567858,0.300136692052334,0.619410271431361,0.322593903664758,0.2,"Subordinate","2018-07-18",386,511,20,1.24177151987269,0.573774417215105
"341","2019-08-08","VLM234","Adult","M",0.0274709160230717,0.389383126405318,0.242838987193274,0.340306970378336,0.721087105288885,0.468558345792181,1,"Subordinate","2017-04-23",837,505,27,1.42796653614508,1.12776350969866
"342","2019-08-08","VLM239","Yearling","M",0.196681068342498,0.386586802827965,0.0479183032207384,0.368813825608798,0.458660644147683,-0.0238994703337665,-0.8,"Juvenile","2018-02-23",531,507,0,-0.659588538353987,-1.00905156130932
"344","2019-08-08","VLM245","Sub-Adult","M",0.0788927335640138,0.549480968858131,0.119723183391003,0.251903114186851,0.645378151260504,0.307004506685417,0.4,"Subordinate","2018-07-18",386,510,6,-0.663514560749833,-0.534203767751995
"345","2019-08-08","VLM248","Sub-Adult","M",0.163086322428065,0.414465904611746,0.147615293653922,0.274832479306267,0.579523058730784,0.223275275658197,-0.4,"Subordinate","2018-07-18",386,512,42,1.44609752122997,2.31488299359198
"347","2019-08-09","VLF230","DominantF","F",0.192856440027551,0.402440224343206,0.0830463445832923,0.321656991045951,0.47495818163928,0.0864011061203719,-0.777777777777778,"DominantF","2016-11-06",1006,516,-2,-1.01418510567422,-1.36168137802587
"348","2019-08-09","VLF235","Adult","F",0.0616471974084618,0.743398449003632,0.0254245607146363,0.16952979287327,0.521350741140669,0.191166940001601,0.111111111111111,"Subordinate","2017-04-23",838,518,22,1.17923452264846,1.68848490875208
"350","2019-08-09","VLF241","Yearling","F",0.0868075944411822,0.238598551575651,0.252104129966725,0.422489724016442,0.575748678802114,0.260645518367126,0.555555555555556,"Juvenile","2018-02-23",532,520,8,-0.624037720753383,-0.090778758535058
"351","2019-08-09","VLF244","Sub-Adult","F",0.143038841600626,0.662655317483612,0.0147735055278348,0.179532335387927,0.360923588689952,-0.0181661679605248,-0.555555555555556,"Subordinate","2018-07-18",387,521,18,1.53253285299545,1.18012386095576
"352","2019-08-09","VLF246","Sub-Adult","F",0.132718170216943,0.359477765779916,0.226465102581722,0.281338961421419,0.662216550505546,0.4107902901222,0.777777777777778,"Subordinate","2018-07-18",387,523,-2,-1.2703179915939,-1.36168137802587
"353","2019-08-09","VLM234","Adult","M",0.255423579071365,0.374693236477864,0.0987533130460391,0.271129871404731,0.475802493373908,0.0340801643487975,-1,"Subordinate","2017-04-23",838,517,6,-0.758607222327073,-0.344959282433221
"354","2019-08-09","VLM245","Sub-Adult","M",0.120276587456175,0.610927152317881,0.0634008570315543,0.20539540319439,0.423061940007791,0.0415806013453058,-0.333333333333333,"Subordinate","2018-07-18",387,522,11,0.0473938971964167,0.290492027312186
"355","2019-08-09","VLM248","Sub-Adult","M",0.0938593082005441,0.562572872133696,0.0582005441119316,0.285367275553828,0.480956082394092,0.177617616722418,-0.111111111111111,"Subordinate","2018-07-18",387,524,23,0.433162851981329,1.81557517070116
"357","2019-08-10","VLF230","DominantF","F",0.0666302566903332,0.570180229382851,0.137356635718187,0.225832878208629,0.715182960131076,0.322447042240832,0.777777777777778,"DominantF","2016-11-06",1007,555,1,-0.776485471531825,-0.707106781186547
"360","2019-08-10","VLF244","Sub-Adult","F",0.196886947023484,0.553795740032769,0.0316766794101584,0.217640633533588,0.370289459311851,-0.115351524315013,-0.555555555555556,"Subordinate","2018-07-18",388,556,6,-0.288298259474391,0.707106781186547
"367","2019-08-11","VLF230","DominantF","F",0.0834554871494185,0.347698622104955,0.216749731261605,0.352096159484022,0.706342226131144,0.456925416647586,0.75,"DominantF","2016-11-06",1008,557,28,1.36281123574973,0.489702106874392
"370","2019-08-11","VLF241","Yearling","F",0.213965718737826,0.25983638488508,0.0744059213089209,0.451791975068173,0.385372029606545,-0.0773358425445238,-0.5,"Juvenile","2018-02-23",534,559,14,0.208012573584461,-0.881463792373905
"371","2019-08-11","VLF244","Sub-Adult","F",0.226758916390567,0.514617033716624,0.0290391736503606,0.229584876242448,0.397485870200741,-0.0446738998153253,-0.75,"Subordinate","2018-07-18",389,560,10,0.318645444682221,-1.27322547787342
"372","2019-08-11","VLF246","Sub-Adult","F",0.125792914999512,0.46774665755831,0.087830584561335,0.318629842880843,0.48814287108422,0.0628526089512207,-0.25,"Subordinate","2018-07-18",389,561,21,1.35595740675754,-0.195880842749757
"374","2019-08-11","VLM248","Sub-Adult","M",0.071713923803956,0.414498684595148,0.0936373380103284,0.420150053590568,0.579557634220014,0.226206557486364,0.25,"Subordinate","2018-07-18",389,562,38,1.23284811717763,1.46910632062318
"430","2021-05-22","VZUF051","Yearling","F",0.0974240753733587,0.447228625839431,0.0634459256289466,0.391901373158264,0.531622732284254,0.192915180606755,0.714285714285714,"Juvenile","2020-03-09",439,347,-8,-1.32807071852157,-1.07172011414437
"431","2021-05-22","VZUF052","Yearling","F",0.150298804780876,0.522410358565737,0.0502988047808765,0.27699203187251,0.429880478087649,0.0694320279786635,-0.142857142857143,"Juvenile","2020-03-09",439,348,-8,-1.47733745351463,-1.07172011414437
"432","2021-05-22","VZUF054","Yearling","F",0.142713769570454,0.568446407065436,0.0268968285828984,0.261942994781212,0.389401846647933,-0.0978346995798081,-0.428571428571429,"Juvenile","2020-03-09",439,349,11,-0.804084401128346,0.174974712513366
"435","2021-05-22","VZUM059","Yearling","M",0.0583063864187551,0.547392886014551,0.084983831851253,0.309316895715441,0.744947453516572,0.384710020240823,1,"Juvenile","2020-03-27",421,351,32,0.506377964253906,1.55290057355612
"507","2021-07-21","VZUF051","Yearling","F",0.0706901644186275,0.544550556266614,0.191198188441469,0.193561090873289,0.637786748055528,0.310610052937012,1,"Juvenile","2020-03-09",499,373,11,-0.332017679630393,-0.082358640933627
"508","2021-07-21","VZUF052","Yearling","F",0.248765066192452,0.367615095830863,0.203220707370085,0.180399130606599,0.619344003161431,0.115183584842874,0,"Juvenile","2020-03-09",499,374,12,0.560369378919343,0.082358640933627
"509","2021-07-21","VZUF054","Yearling","F",0.112584733274388,0.408979271048237,0.139208173690932,0.339227821986443,0.622556243245898,0.281417591246558,0.5,"Juvenile","2020-03-09",499,376,13,-0.482450640677008,0.247075922800881
"510","2021-07-21","VZUM053","Yearling","M",0.201417888705448,0.339904826648538,0.182286102748373,0.27639118189764,0.518014955812373,0.0720478907752219,-0.5,"Juvenile","2020-03-09",499,375,17,-0.192897128868165,0.905945050269898
"588","2022-06-12","VNQF013","DominantF","F",0.158393113342898,0.578383548541368,0.0987087517934003,0.164514586322334,0.505308464849354,0.0136146079863446,-0.333333333333333,"DominantF","2019-11-12",943,1,6,-1.38106385356536,0.774824750261714
"589","2022-06-12","VNQF013","DominantF","F",0.158393113342898,0.578383548541368,0.0987087517934003,0.164514586322334,0.505308464849354,0.0136146079863446,-0.333333333333333,"DominantF","2019-11-11",944,1,6,-1.38106385356536,0.774824750261714
"590","2022-06-12","VNQM028","Yearling","M",0.183213429256595,0.485659472422062,0.154340527577938,0.176786570743405,0.447673860911271,-0.00359377833366101,0.333333333333333,"Juvenile","2021-03-07",462,3,-3,-1.13106546121125,-0.87677537529615
"591","2022-06-12","VNQM028","Yearling","M",0.183213429256595,0.485659472422062,0.154340527577938,0.176786570743405,0.447673860911271,-0.00359377833366101,0.333333333333333,"Juvenile","2021-03-07",462,3,-3,-1.13106546121125,-0.87677537529615
"592","2022-06-12","VNQM029","Yearling","M",0.221595256312165,0.349560061208875,0.129973221117062,0.298871461361897,0.471403978576894,0.015546055758824,-1,"Juvenile","2021-03-07",462,4,-1,-1.2977713690461,-0.50975312517218
"593","2022-06-12","VNQM029","Yearling","M",0.221595256312165,0.349560061208875,0.129973221117062,0.298871461361897,0.471403978576894,0.015546055758824,-1,"Juvenile","2021-03-07",462,4,-1,-1.2977713690461,-0.50975312517218
"594","2022-06-12","VZUM034","DominantM","M",0.092967475774729,0.562314113019284,0.149669001247242,0.195049409958745,0.542550129521251,0.10759368509566,1,"DominantM","2018-04-07",1527,2,-2,-0.750119869856351,-0.693264250234165
"595","2022-06-12","VZUM034","DominantM","M",0.092967475774729,0.562314113019284,0.149669001247242,0.195049409958745,0.542550129521251,0.10759368509566,1,"DominantM","2018-04-07",1527,2,-2,-0.750119869856351,-0.693264250234165
"596","2022-06-13","VNQF013","DominantF","F",0.115612439179183,0.569177067907764,0.075206261899725,0.240004231013328,0.486037656018616,0.272509445381206,1,"DominantF","2019-11-12",944,10,27,0.0336844842333015,1.45329589744045
"597","2022-06-13","VNQF013","DominantF","F",0.115612439179183,0.569177067907764,0.075206261899725,0.240004231013328,0.486037656018616,0.272509445381206,1,"DominantF","2019-11-11",945,10,27,0.0336844842333015,1.45329589744045
"598","2022-06-13","VNQM028","Yearling","M",0.179609590494377,0.35508168894547,0.135158073413961,0.330150647146191,0.499151283683429,0.144515587656422,0.333333333333333,"Juvenile","2021-03-07",463,11,23,0.364241419712098,1.03806849817175
"599","2022-06-13","VNQM028","Yearling","M",0.179609590494377,0.35508168894547,0.135158073413961,0.330150647146191,0.499151283683429,0.144515587656422,0.333333333333333,"Juvenile","2021-03-07",463,11,23,0.364241419712098,1.03806849817175
"600","2022-06-13","VNQM029","Yearling","M",0.273975541729243,0.372237717228063,0.103411285131946,0.250375455910749,0.324179360652221,-0.0933646537444874,-1,"Juvenile","2021-03-07",463,12,5,-0.64888568452305,-0.8304547985374
"601","2022-06-13","VNQM029","Yearling","M",0.273975541729243,0.372237717228063,0.103411285131946,0.250375455910749,0.324179360652221,-0.0933646537444874,-1,"Juvenile","2021-03-07",463,12,5,-0.64888568452305,-0.8304547985374
"606","2022-06-14","VNQM028","Yearling","M",0.0779105361903821,0.509331490076034,0.152957440505579,0.259800533228004,0.574207563937988,0.306352469290195,-0.333333333333333,"Juvenile","2021-03-07",464,16,30,0.766824041499153,1.16221363226578
"607","2022-06-14","VNQM028","Yearling","M",0.0779105361903821,0.509331490076034,0.152957440505579,0.259800533228004,0.574207563937988,0.306352469290195,-0.333333333333333,"Juvenile","2021-03-07",464,16,30,0.766824041499153,1.16221363226578
"608","2022-06-14","VNQM029","Yearling","M",0.399940793368857,0.271363726070653,0.0515097690941385,0.277185711466351,0.25389776988356,-0.374815649001492,-1,"Juvenile","2021-03-07",464,17,20,0.973328526784575,-0.153499913695481
"609","2022-06-14","VNQM029","Yearling","M",0.399940793368857,0.271363726070653,0.0515097690941385,0.277185711466351,0.25389776988356,-0.374815649001492,-1,"Juvenile","2021-03-07",464,17,20,0.973328526784575,-0.153499913695481
"612","2022-06-15","VNQF013","DominantF","F",0.0929234454536381,0.678710450144725,0.02365505539475,0.204711049006887,0.478989919153608,0.0680468068746542,0.333333333333333,"DominantF","2019-11-12",946,22,32,0.370529326566317,1.45948728177551
"613","2022-06-15","VNQF013","DominantF","F",0.0929234454536381,0.678710450144725,0.02365505539475,0.204711049006887,0.478989919153608,0.0680468068746542,0.333333333333333,"DominantF","2019-11-11",947,22,32,0.370529326566317,1.45948728177551
"616","2022-06-15","VNQM029","Yearling","M",0.219952867242734,0.268362136684996,0.135703063629222,0.375981932443048,0.429988216810683,-0.0284289016770915,-1,"Juvenile","2021-03-07",465,25,11,0,-0.832044151292581
"617","2022-06-15","VNQM029","Yearling","M",0.219952867242734,0.268362136684996,0.135703063629222,0.375981932443048,0.429988216810683,-0.0284289016770915,-1,"Juvenile","2021-03-07",465,25,11,0,-0.832044151292581
"618","2022-06-15","VZUM034","DominantM","M",0.15793144679155,0.544539657233958,0.0612793941809486,0.236249501793543,0.462335591869271,0.0255898211422281,-0.333333333333333,"DominantM","2018-04-07",1530,23,29,1.13531655978258,1.13212564848007
"619","2022-06-15","VZUM034","DominantM","M",0.15793144679155,0.544539657233958,0.0612793941809486,0.236249501793543,0.462335591869271,0.0255898211422281,-0.333333333333333,"DominantM","2018-04-07",1530,23,29,1.13531655978258,1.13212564848007
"620","2022-06-29","VECM009","DominantM","M",0.0929478138222849,0.567559943582511,0.0909732016925247,0.24851904090268,0.531875881523272,0.186574104663191,1,"DominantM","2019-04-17",1169,31,13,-1.35583843887848,-0.454568645048495
"622","2022-06-29","VSIF005","Sub-Adult","F",0.133374233128834,0.405766871165644,0.0695705521472393,0.391288343558282,0.506134969325153,0.0646803130582843,0.2,"Subordinate","2021-07-02",362,33,22,0,0.757614408414158
"623","2022-06-29","VSIM001","Eldest Sub","M",0.25201394733678,0.204641096549237,0.119033305278346,0.424311650835638,0.411446435012625,-0.154412298232251,-1,"Subordinate","2021-05-27",398,32,20,-1.08254254223788,0.488240396533569
"624","2022-06-29","VSIM012","Sub-Adult","M",0.0934011411560407,0.574051103944431,0.0787645745472587,0.25378318035227,0.56561647233937,0.125721182242804,0.6,"Subordinate","2021-12-12",199,34,11,-1.49319149913217,-0.723942656929084
"625","2022-06-29","VZUF048","DominantF","F",0.0884699895917659,0.505493234647855,0.0574765814733434,0.348560194287036,0.46709841563548,0.0701266319757391,-0.6,"DominantF","2019-05-09",1147,30,31,1.27246283900423,1.96979746187681
"626","2022-06-30","VECM009","DominantM","M",0.0815994210240637,0.441107291478198,0.256196851818346,0.221096435679392,0.591279174959291,0.354211958303364,-0.6,"DominantM","2019-04-17",1170,39,20,-0.0376621788577353,0.170965788632826
"630","2022-06-30","VSIM012","Sub-Adult","M",0.106472233320016,0.629644426687974,0.11865761086696,0.14522572912505,0.663803435876948,0.359063955888971,-0.2,"Subordinate","2021-12-12",200,40,29,-0.107756087566239,1.48984472951463
"631","2022-06-30","VZUF048","DominantF","F",0.046225272507065,0.585991118288252,0.178845377472749,0.188938231731934,0.687727089220832,0.368561840449924,0.6,"DominantF","2019-05-09",1148,38,20,-1.41928547427395,0.170965788632826
"638","2022-07-02","VECM009","DominantM","M",0.21857210626186,0.454222011385199,0.086219165085389,0.240986717267552,0.360294117647059,-0.250753122930205,-1,"DominantM","2019-04-17",1172,45,20,-0.0376621788577353,-0.136470248464168
"639","2022-07-02","VSIF003","Sub-Adult","F",0.203984819734345,0.255574003795066,0.100687855787476,0.439753320683112,0.398244781783681,-0.117516481286014,-0.6,"Subordinate","2021-05-29",399,46,14,-0.707106781186547,-0.703346665161483
"640","2022-07-02","VSIF005","Sub-Adult","F",0.106847343806212,0.39980813047128,0.128432665787265,0.364911859935244,0.541671663268977,0.0892044845817733,0.6,"Subordinate","2021-07-02",365,47,21,-1,-0.0419908456812824
"642","2022-07-02","VSIM012","Sub-Adult","M",0.119238950602694,0.527062160245805,0.054242495863862,0.299456393287639,0.443866698180099,-0.0587475951906274,-0.2,"Subordinate","2021-12-12",202,49,47,1.27767932399969,2.41447362667375
"643","2022-07-02","VZUF048","DominantF","F",0.0704877180491278,0.305446778212887,0.264032277204225,0.360033226533761,0.661920018986591,0.324466418034483,1,"DominantF","2019-05-09",1150,44,28,0.538349662655636,0.619364973798918
"644","2022-07-03","VECM009","DominantM","M",0.0902168897092755,0.498615597600369,0.14443931702815,0.266728195662206,0.482233502538071,0.0264374799449948,0.5,"DominantM","2019-04-17",1173,54,20,-0.0376621788577353,-0.374382636443535
"645","2022-07-03","VSIF003","Sub-Adult","F",0.273969534050179,0.221326164874552,0.028673835125448,0.476030465949821,0.448700716845878,-0.12896096592161,-0.5,"Subordinate","2021-05-29",400,56,24,0.707106781186547,0.180258306435776
"646","2022-07-03","VSIF005","Sub-Adult","F",0.0460556315549476,0.499088007295942,0.255357957136343,0.199498404012768,0.671454628362973,0.341384385279021,1,"Subordinate","2021-07-02",366,57,23,1,0.0415980707159485
"647","2022-07-03","VSIM012","Sub-Adult","M",0.155575952271684,0.462138595686095,0.188389169343736,0.193896282698486,0.505277650298302,0.0440174565024595,0,"Subordinate","2021-12-12",203,59,30,-0.0307874535903539,1.01221972075474
"648","2022-07-03","VZUF048","DominantF","F",0.30104119511091,0.279764599366229,0.0387052965142598,0.380488909008601,0.267768220914441,-0.380404534483197,-1,"DominantF","2019-05-09",1151,53,25,-0.195763513692959,0.318918542155604
"651","2022-07-12","VMPF022","DominantF","F",0.0381751566008746,0.544852854272545,0.0616948351258716,0.355277154000709,0.611157073631958,0.261272322441835,0.5,"DominantF","2018-12-21",1299,63,18,0.251418227577135,-0.336340423218994
"652","2022-07-12","VMPF022","DominantF","F",0.0381751566008746,0.544852854272545,0.0616948351258716,0.355277154000709,0.611157073631958,0.261272322441835,0.5,"DominantF","2018-12-21",1299,63,18,0.251418227577135,-0.336340423218994
"655","2022-07-12","VRWF008","Yearling","F",0.196973279735162,0.313785764956254,0.0989595649089619,0.390281390399622,0.455426814849846,0.0130801960829294,-0.75,"Juvenile","2021-07-30",347,66,23,1.0805808560783,-0.0373711581354438
"656","2022-07-12","VRWF016","Juvenile","F",0.102378121284185,0.572770511296076,0.0782401902497027,0.246611177170036,0.625921521997622,0.230225849904624,0,"Juvenile","2022-03-04",130,70,4,-1.41617638574987,-1.17345436545293
"657","2022-07-12","VRWM005","Yearling","M",0.136857176947858,0.414509008471543,0.18434554349123,0.264288271089369,0.52845722467486,0.236502401611128,0.25,"Juvenile","2021-02-06",521,65,57,1.67809440899111,1.9956198444327
"658","2022-07-12","VRWM005","Yearling","M",0.136857176947858,0.414509008471543,0.18434554349123,0.264288271089369,0.52845722467486,0.236502401611128,0.25,"Juvenile","2021-02-05",522,65,57,1.67809440899111,1.9956198444327
"659","2022-07-12","VRWM009","Sub-Adult","M",0.0934170021311864,0.458441865972058,0.0816954771489462,0.36644565474781,0.564409187781198,0.26010846772063,0.75,"Subordinate","2021-12-15",209,67,20,0.211835018653808,-0.216752717185574
"660","2022-07-12","VRWM012","Juvenile","M",0.110420475319927,0.488848263254113,0.0881170018281536,0.312614259597806,0.572212065813528,0.206957385096317,-0.5,"Juvenile","2022-03-04",130,69,38,1.91478563408188,0.859536637115207
"662","2022-07-13","VJXM122","DominantM","M",0.119397103733622,0.629199093685351,0.0938823761205793,0.157521426460447,0.624174958132204,0.225053414612813,1,"DominantM","2018-12-01",1320,72,20,1.11674266924354,0.804131929086288
"663","2022-07-13","VJXM122","DominantM","M",0.119397103733622,0.629199093685351,0.0938823761205793,0.157521426460447,0.624174958132204,0.225053414612813,1,"DominantM","2018-12-01",1320,72,20,1.11674266924354,0.804131929086288
"664","2022-07-13","VMPF022","DominantF","F",0.216096698113208,0.586379716981132,0.0685927672955975,0.128930817610063,0.563089622641509,0.0959020108013073,0.111111111111111,"DominantF","2018-12-21",1300,71,16,0.0754254682731404,0.371137813424441
"665","2022-07-13","VMPF022","DominantF","F",0.216096698113208,0.586379716981132,0.0685927672955975,0.128930817610063,0.563089622641509,0.0959020108013073,0.111111111111111,"DominantF","2018-12-21",1300,71,16,0.0754254682731404,0.371137813424441
"666","2022-07-13","VRWF002","Eldest Sub","F",0.13901705115346,0.516950852557673,0.202808425275827,0.141223671013039,0.518655967903711,0.0997375889782981,0.777777777777778,"Subordinate","2021-02-06",522,74,0,-0.707106781186547,-1.36083864922295
"667","2022-07-13","VRWF002","Eldest Sub","F",0.13901705115346,0.516950852557673,0.202808425275827,0.141223671013039,0.518655967903711,0.0997375889782981,0.777777777777778,"Subordinate","2021-02-05",523,74,0,-0.707106781186547,-1.36083864922295
"668","2022-07-13","VRWF008","Yearling","F",0.199800895968143,0.477053260328522,0.0906918865107018,0.232453957192633,0.510602289696366,0.0350088576187002,-0.111111111111111,"Juvenile","2021-07-30",348,78,13,0.132702912149967,0.0463922266780551
"669","2022-07-13","VRWF016","Juvenile","F",0.154547255795522,0.603427778878542,0.0783633841886269,0.163661581137309,0.533881513770557,0.0748486471454517,-0.555555555555556,"Juvenile","2022-03-04",131,84,9,0.447213595499958,-0.386601888983792
"670","2022-07-13","VRWM001","Eldest Sub","M",0.165395423524689,0.469490164592533,0.224106784423926,0.141007627458852,0.636491368928141,0.176987464255129,0.555555555555556,"Subordinate","2021-02-06",522,73,8,-0.816496580927726,-0.494850417899254
"671","2022-07-13","VRWM001","Eldest Sub","M",0.165395423524689,0.469490164592533,0.224106784423926,0.141007627458852,0.636491368928141,0.176987464255129,0.555555555555556,"Subordinate","2021-02-05",523,73,8,-0.816496580927726,-0.494850417899254
"672","2022-07-13","VRWM005","Yearling","M",0.277253563541458,0.185203774342502,0.234089540252961,0.30345312186308,0.477012648062638,0.0342496601094839,-0.333333333333333,"Juvenile","2021-02-06",522,76,14,-0.298838730368279,0.154640755593517
"673","2022-07-13","VRWM005","Yearling","M",0.277253563541458,0.185203774342502,0.234089540252961,0.30345312186308,0.477012648062638,0.0342496601094839,-0.333333333333333,"Juvenile","2021-02-05",523,76,14,-0.298838730368279,0.154640755593517
"674","2022-07-13","VRWM009","Sub-Adult","M",0.29505107606863,0.376673609044927,0.107606863036795,0.220668451849648,0.38837647525538,-0.11360084091961,-1,"Subordinate","2021-12-15",210,79,29,0.672028335039667,1.77836868932544
"675","2022-07-13","VRWM012","Juvenile","M",0.143086333099368,0.519703198636318,0.0963601724656573,0.240850295798656,0.501955279253986,0.12081076414692,0.333333333333333,"Juvenile","2022-03-04",131,81,20,0.215750493981056,0.804131929086288
